client_id,snapshot_id,seq_num,server_timestamp,recv_time,latency_ms
1,420,140,1765281426193,1765281426193,0
1,421,141,1765281426227,1765281426227,0
1,422,142,1765281426261,1765281426261,0
1,423,143,1765281426295,1765281426295,0
1,424,144,1765281426329,1765281426329,0
1,425,145,1765281426363,1765281426363,0
1,426,146,1765281426397,1765281426397,0
1,427,147,1765281426431,1765281426431,0
1,428,148,1765281426465,1765281426465,0
1,429,149,1765281426500,1765281426500,0
1,430,150,1765281426534,1765281426534,0
1,431,151,1765281426568,1765281426568,0
1,432,152,1765281426603,1765281426603,0
1,433,153,1765281426637,1765281426637,0
1,434,154,1765281426671,1765281426671,0
1,435,155,1765281426706,1765281426706,0
1,436,156,1765281426740,1765281426740,0
1,437,157,1765281426774,1765281426774,0
1,438,158,1765281426808,1765281426808,0
1,439,159,1765281426842,1765281426842,0
